,mkt
A,0.16504934750714817
AAL,0.23827204019288512
AAP,0.15567919890935333
AAPL,0.1645326604337764
ABBV,0.12962506172578392
ABC,0.13425785511245003
ABT,0.14322969617160725
ACGL,0.1608762896203613
ACN,0.16885610650067864
ADBE,0.17749930917439105
ADI,0.19115421651934958
ADM,0.15081316666707362
ADP,0.1640330053224309
ADSK,0.20368427203282732
AEE,0.11559136127971847
AEP,0.10416022402938359
AES,0.17880006192263614
AFL,0.17041001014320306
AIG,0.2066744223318434
AIZ,0.15256821679926738
AJG,0.1461203626301565
AKAM,0.13962072529648883
ALB,0.20229562547010813
ALGN,0.22760507678570613
ALK,0.2205984332580465
ALL,0.14684796660017413
ALLE,0.17759904485464448
AMAT,0.2265329120957532
AMCR,0.11871870643913379
AMD,0.22327843010931794
AME,0.17721144574240433
AMGN,0.1331092561243834
AMP,0.24050191694401035
AMT,0.13621588019091366
AMZN,0.15716253457194113
ANET,0.19606363812606634
ANSS,0.17955457004367273
AON,0.14071643992382424
AOS,0.1605315810913695
APA,0.25586553461797956
APD,0.1564761526518076
APH,0.17315732806009423
APTV,0.22978608399115577
ARE,0.1447412147768318
ATO,0.11854193704329125
ATVI,0.12081166297206264
AVB,0.143793299063998
AVGO,0.19807937405394554
AVY,0.17277106632681985
AWK,0.11642201081304364
AXP,0.20312224237540985
AZO,0.1293195879715811
BA,0.2264796615821392
BAC,0.20451732085450453
BALL,0.14028807322560702
BAX,0.12407279239892251
BBWI,0.2212572543710484
BBY,0.1867266840198722
BDX,0.11565349087541313
BEN,0.20039313644116502
BIIB,0.1463635630020969
BIO,0.1362463667022814
BK,0.1781975574870323
BKNG,0.187711734558887
BKR,0.20142034367227418
BLK,0.19685528247560222
BMY,0.11286428489556316
BR,0.1462302229054176
BRO,0.14615607273396217
BSX,0.16482772415318456
BWA,0.19552638470794287
BXP,0.17161297387121707
C,0.21816040679599136
CAG,0.09712459446673428
CAH,0.1458882308543527
CARR,0.23877563541111815
CAT,0.17604454809065342
CB,0.1514415437690208
CBOE,0.11608886231982139
CBRE,0.20985946443577932
CCI,0.12837370581813812
CCL,0.2710658018030103
CDAY,0.29862894399057666
CDNS,0.17134941140669224
CDW,0.18159758098498668
CE,0.20431567476159146
CF,0.1836736199476305
CFG,0.24834756176075534
CHD,0.09183816676195061
CHRW,0.12152051887849595
CHTR,0.13588039002680213
CI,0.15504764405782573
CINF,0.16838016053396856
CL,0.10620583496618735
CLX,0.07545752195217058
CMA,0.22210390313080283
CMCSA,0.14673091925858484
CME,0.13802782147724924
CMG,0.1471762331782855
CMI,0.16919653057398673
CMS,0.10613600764287509
CNC,0.16034247728340076
CNP,0.15493507122295663
COF,0.22890274756052081
COO,0.1506772250549981
COP,0.201471340214648
COST,0.11715058355900372
CPB,0.08066698652518928
CPRT,0.16385532025229935
CPT,0.13952174991628136
CRL,0.17822213247248422
CRM,0.18318328015874547
CSCO,0.15684199133983787
CSGP,0.16899833340649906
CSX,0.17877676603726098
CTAS,0.1752723788089465
CTLT,0.18973995548331318
CTRA,0.14514139191019623
CTSH,0.17640467624329176
CTVA,0.2645946523207017
CVS,0.13173767455353297
CVX,0.17767482050643166
CZR,0.32226703761088554
D,0.11348584615671915
DAL,0.22155011314211345
DD,0.19194290515091525
DE,0.16769472463222007
DFS,0.24045445922432215
DG,0.10887502378473837
DGX,0.12507195482673233
DHI,0.19408689177953892
DHR,0.139897820629316
DIS,0.16727260356012197
DISH,0.21662886498855588
DLR,0.12700766511243955
DLTR,0.13527734044405637
DOV,0.18451460229528766
DOW,0.3212614140041615
DPZ,0.11075391365228711
DRI,0.19681616102064567
DTE,0.13109669863208534
DUK,0.11102299244026688
DVA,0.13388009048199162
DVN,0.24550690333749714
DXC,0.24471340201844258
DXCM,0.17078298307344045
EA,0.12237908782642294
EBAY,0.14148425221849192
ECL,0.17195513109923458
ED,0.09514138236309316
EFX,0.1583534825018838
EIX,0.1308007522717169
EL,0.16308507477010523
ELV,0.1555819228673812
EMN,0.19662771295330592
EMR,0.18723997813334345
ENPH,0.24673000368440282
EOG,0.19774048078030876
EPAM,0.19928293541495273
EQIX,0.13747778892835028
EQR,0.14441520952760478
EQT,0.1639017119802711
ES,0.11322288411895698
ESS,0.14516812976110083
ETN,0.19164938896058442
ETR,0.1266802784349279
ETSY,0.2275970703969395
EVRG,0.12411699089772152
EW,0.16046719902109527
EXC,0.14013952765288487
EXPD,0.14085526607215101
EXPE,0.21063244625137725
EXR,0.12104647229443978
F,0.19826721790895466
FANG,0.22946820230498433
FAST,0.15888065358920422
FCX,0.25919809920669956
FDS,0.15238274954040623
FDX,0.17960144251226456
FE,0.12389215288822916
FFIV,0.16005850884873868
FIS,0.1674409243060278
FISV,0.1684013032197514
FITB,0.22453414041411715
FLT,0.19056470972239647
FMC,0.17965654016562116
FOX,0.24619757706851156
FOXA,0.24211643327921262
FRC,0.18123486694325291
FRT,0.1699012260247771
FSLR,0.1838566574874168
FTNT,0.18340905931961704
FTV,0.20327924248996687
GD,0.1504110901554124
GE,0.18783185513843512
GEN,0.1206422418081976
GILD,0.11839090648504261
GIS,0.08651601354106789
GL,0.176194857305143
GLW,0.19046808252709252
GM,0.2043783110867308
GNRC,0.20330268841956706
GOOG,0.1634397639458084
GOOGL,0.1637304287642236
GPC,0.16630929335742656
GPN,0.1977619325267733
GRMN,0.15735653848892586
GS,0.19278331101367965
GWW,0.15610106408056582
HAL,0.23892577416942895
HAS,0.15998433770069542
HBAN,0.20190329307430896
HCA,0.17859275806961636
HD,0.15892662071902447
HES,0.2201888995662067
HIG,0.18130098496950736
HII,0.14810154233298517
HLT,0.18371300855632344
HOLX,0.14231566549168168
HON,0.1690517061928443
HPE,0.2218960781915341
HPQ,0.19139194893099903
HRL,0.08988746153415654
HSIC,0.14701881059392558
HST,0.20010681796556093
HSY,0.10832112334728267
HUM,0.13880067498695567
HWM,0.2819720820057812
IBM,0.1455279112625935
ICE,0.1384371844720182
IDXX,0.1536425030289988
IEX,0.1590284687589672
IFF,0.15666352717766904
ILMN,0.1824536526665893
INCY,0.1489298819931534
INTC,0.17745648942139977
INTU,0.18593949027794957
INVH,0.18628617316873547
IP,0.18142592773413208
IPG,0.1899012896169686
IQV,0.17758656057448566
IR,0.24632760374927226
IRM,0.14995578649206093
ISRG,0.1768019198330905
IT,0.17014081702258332
ITW,0.1680718646736362
IVZ,0.24157862269227678
J,0.17126018184892178
JBHT,0.154143717810406
JCI,0.16426489504217814
JKHY,0.12795764550703076
JNJ,0.10724344089242227
JNPR,0.14895358661714714
JPM,0.18842200754449479
K,0.08595381017861331
KDP,0.10475240612532957
KEY,0.23002142451669075
KEYS,0.18228226565978617
KHC,0.1422430099596655
KIM,0.18828630108312347
KLAC,0.21176511616524474
KMB,0.09740133451458227
KMI,0.1744966447044781
KMX,0.1986760683003959
KO,0.11649981557274994
KR,0.0852994421322911
L,0.18013127230837725
LDOS,0.14957048324428088
LEN,0.20095064382877356
LH,0.1527279936471974
LHX,0.1372102940829759
LIN,0.15452447178244694
LKQ,0.20107205888112117
LLY,0.1152634217488157
LMT,0.12317130364023537
LNC,0.2847615402346544
LNT,0.11342911383272172
LOW,0.17227262904904986
LRCX,0.23194903966740113
LUMN,0.16549072240080784
LUV,0.18637130032755447
LVS,0.19675100985359958
LW,0.1915685587898476
LYB,0.21284502608371994
LYV,0.20250041173049113
MA,0.18679844510549815
MAA,0.1388859999763602
MAR,0.19351480528620432
MAS,0.1765603981126486
MCD,0.12612811207433583
MCHP,0.22004080683721391
MCK,0.1401784548222258
MCO,0.18744896717226495
MDLZ,0.13057820704453432
MDT,0.14827586785280752
MET,0.2048123514022037
META,0.17451935137670616
MGM,0.25890339901648474
MHK,0.21195416008735476
MKC,0.10862158977762598
MKTX,0.13264030235645563
MLM,0.1864787175824975
MMC,0.1441755586168862
MMM,0.14619840371970877
MNST,0.14099009926761125
MO,0.11491247760224196
MOH,0.15378016883161477
MOS,0.20654454448800974
MPC,0.22301844572373558
MPWR,0.22637844373099683
MRK,0.11054700729553057
MRNA,0.1321793107967129
MRO,0.23490503471517568
MS,0.21312528748301005
MSCI,0.1792968405454255
MSFT,0.16890508529794288
MSI,0.15026562772891372
MTB,0.18858949830253266
MTCH,0.17894095060054602
MTD,0.16576843073864683
MU,0.2324903904818317
NCLH,0.28098059609453585
NDAQ,0.14858415409108694
NDSN,0.18496869207194075
NEE,0.12211290676554784
NEM,0.08653443642649811
NFLX,0.16325492498211588
NI,0.12737451874354824
NKE,0.16720662819099552
NOC,0.12320446594636524
NOW,0.19542523307745022
NRG,0.16853361882992154
NSC,0.17936875051720283
NTAP,0.17733392408263202
NTRS,0.19238682472420962
NUE,0.19614841456849938
NVDA,0.22295090408872095
NVR,0.16584855265368356
NWL,0.18878902911712725
NWS,0.17650017530781492
NWSA,0.17728778825361508
NXPI,0.2206343160812981
O,0.146012369130571
ODFL,0.1695450412923618
OKE,0.22491836660356967
OMC,0.16013511021326265
ON,0.25784521789688997
ORCL,0.14968849381098556
ORLY,0.1381048115895713
OTIS,0.19018019673568934
OXY,0.22246571206830854
PARA,0.19501141053231852
PAYC,0.2362295885743334
PAYX,0.16544676333124983
PCAR,0.16320347329660628
PCG,0.15823454864807965
PEAK,0.15485779035623917
PEG,0.12317257282226823
PEP,0.11537521574872746
PFE,0.11442559887910138
PFG,0.2207636243926912
PG,0.1046709970586043
PGR,0.12480891307570983
PH,0.21223955504954176
PHM,0.20408795931711346
PKG,0.1646056650970639
PKI,0.15444468343491252
PLD,0.15905194568064895
PM,0.12391940771677994
PNC,0.19321093024847524
PNR,0.1893888062039496
PNW,0.12415479806585804
POOL,0.1521850717135761
PPG,0.17426647325239558
PPL,0.13379779316041035
PRU,0.22223156464083216
PSA,0.1124106122382523
PSX,0.19462070396177958
PTC,0.17779380463973868
PWR,0.18762697734642267
PXD,0.20712590248469598
PYPL,0.21352782598522205
QCOM,0.18104675067514253
QRVO,0.23962847277864102
RCL,0.26827521101166824
RE,0.145179285133308
REG,0.17411172248284576
REGN,0.13198367026789976
RF,0.22220491146185753
RHI,0.18467085947559383
RJF,0.20340250462773013
RL,0.192967903215265
RMD,0.14382616156558942
ROK,0.187990271980734
ROL,0.12599387805760015
ROP,0.15500306768549485
ROST,0.17975628350885747
RSG,0.12484958662449785
RTX,0.17626258257892524
SBAC,0.13351900136744707
SBNY,0.21596944568747678
SBUX,0.16456793410163795
SCHW,0.1972856259798276
SEDG,0.2463194530605775
SEE,0.16545835271016754
SHW,0.15531690847890955
SIVB,0.24592619457300044
SJM,0.08643480810934662
SLB,0.20328784042239226
SNA,0.17319014713732966
SNPS,0.16614941246340706
SO,0.11443213450317447
SPG,0.20101256640351559
SPGI,0.17099646703643254
SRE,0.13290625325772915
STE,0.15164071257560272
STLD,0.20878629574321567
STT,0.20971978749695616
STX,0.18594049528401058
STZ,0.14215838009540144
SWK,0.20842898076222832
SWKS,0.2169417054912642
SYF,0.24901483028398433
SYK,0.16876464161260918
SYY,0.17139815741492298
T,0.12305175958051613
TAP,0.14254483604543383
TDG,0.19612100469155508
TDY,0.17747081473456663
TECH,0.14471733270381243
TEL,0.18987433061194423
TER,0.21244413973289397
TFC,0.20179821295460784
TFX,0.1544786665307322
TGT,0.13441781890617938
TJX,0.16426659897128285
TMO,0.1419446293569364
TMUS,0.14056117402818502
TPR,0.22655928775127207
TRGP,0.24655678700685346
TRMB,0.19638662526663203
TROW,0.19597831229948678
TRV,0.14770793501802448
TSCO,0.13903202520970764
TSLA,0.20473808316668812
TSN,0.12881934738684148
TT,0.1732185476226864
TTWO,0.1368501080983734
TXN,0.17692273406735348
TXT,0.21894048640629898
TYL,0.15007243561106093
UAL,0.24537623034395123
UDR,0.14724972870744618
UHS,0.18582215066194827
ULTA,0.18535531772923564
UNH,0.14794891017551423
UNP,0.16651430229414377
UPS,0.14078854358697251
URI,0.2533293710773231
USB,0.18176364576880388
V,0.1718298093532539
VFC,0.1905018476487227
VICI,0.24594005414414608
VLO,0.20642429445478508
VMC,0.1773184109793022
VNO,0.18650926811388618
VRSK,0.14116838633601575
VRSN,0.15196987260938905
VRTX,0.15325895933269384
VTR,0.17778105175406053
VTRS,0.16262106051526426
VZ,0.0974446446968554
WAB,0.1920139683974997
WAT,0.1543017637206257
WBA,0.14759543604871778
WBD,0.17767476422844533
WDC,0.23279100265585498
WEC,0.10288205206616864
WELL,0.16635833252019222
WFC,0.19373044249161903
WHR,0.19970353655571732
WM,0.12098024773383799
WMB,0.19125047757298133
WMT,0.09579525696272691
WRB,0.15082546976016736
WRK,0.24376411571739165
WST,0.1386036163020663
WTW,0.14145689051083302
WY,0.20722885786288417
WYNN,0.238369684362464
XEL,0.10848155709959419
XOM,0.1603902120196066
XRAY,0.15562734654705102
XYL,0.17956306672187303
YUM,0.14613999258988503
ZBH,0.16056138157418082
ZBRA,0.2000966269191906
ZION,0.1988943798778406
ZTS,0.14864666042650032
